Performance(MegaMultiply-Sums per Second)72378956.782750
Index,Sum
472,326239.156250
473,74954.148438
474,196287.125000
475,245513.984375
476,-14165.683594
477,-155797.750000
478,374374.812500
479,120322.734375
480,113573.320312
481,36326.726562
482,-11257.635742
483,42463.246094
484,177288.812500
485,269718.531250
486,81969.992188
487,-81759.617188
488,88156.539062
489,234636.953125
490,361132.718750
491,154411.984375
492,234549.625000
493,120962.898438
494,-174088.859375
495,-80240.015625
496,-226154.859375
497,-190656.453125
498,25589.433594
499,309835.000000
500,-8057.101562
501,-224861.796875
502,121276.273438
503,202136.796875
504,51116.132812
505,206913.781250
506,-150839.515625
507,-276856.468750
508,-157081.187500
509,57181.007812
510,-85434.804688
511,-274910.750000
512,-183954.031250
513,-3346.375732
514,-157000.875000
515,225172.609375
516,25050.431641
517,40813.648438
518,307578.250000
519,188167.171875
520,25690.306641
521,-175955.218750
522,139843.046875
523,200203.859375
524,49080.437500
525,272227.656250
526,-304681.968750
527,-49829.445312
528,-254760.734375
529,-187922.937500
530,264041.312500
531,-215753.687500
532,85132.757812
533,-112051.304688
534,16268.881836
535,-142474.265625
536,205252.906250
537,-88064.445312
538,-92239.929688
539,27727.972656
540,230518.437500
541,6060.148926
542,-114226.281250
543,-183407.406250
544,136904.828125
545,10765.583984
546,124189.351562
547,125284.507812
548,46320.214844
549,39209.078125
550,244762.296875
551,9067.726562
552,-138976.937500
553,218720.984375
554,-311459.343750
555,20910.072266
556,-230819.015625
557,-147783.125000
558,93015.632812
559,47972.421875
560,-43535.781250
561,-288696.375000
562,108659.875000
563,192740.578125
564,-167775.343750
565,-80374.453125
566,187405.703125
567,-406070.812500
568,-5228.851074
569,206575.796875
570,-20187.578125
571,-402839.625000
572,139081.984375
573,-329692.218750
574,106797.640625
575,146623.093750
576,-114826.242188
577,-345164.687500
578,101348.718750
579,96344.093750
580,130165.531250
581,218847.734375
582,-40355.578125
583,-309647.531250
584,-54767.140625
585,-386928.406250
586,-218215.796875
587,-140851.453125
588,182746.687500
589,8043.669922
590,6859.180664
591,-206606.656250
592,-351687.031250
593,236419.750000
594,-70560.507812
595,-285167.437500
596,-378003.250000
597,-376391.031250
598,-155282.843750
599,192317.531250
600,194232.734375
601,-183745.156250
602,38382.218750
603,-171522.984375
604,116071.757812
605,21680.878906
606,12017.630859
607,83932.101562
608,51111.066406
609,203337.531250
610,-47918.378906
611,103457.976562
612,-234555.546875
613,91668.085938
614,-274427.000000
615,-160101.984375
616,217375.500000
617,-163005.890625
618,179647.609375
619,258481.812500
620,305759.500000
621,191998.843750
622,-58201.339844
623,320432.000000
624,295391.375000
625,-144229.562500
626,-257128.437500
627,136679.203125
628,40150.476562
629,300543.906250
630,-298101.750000
631,99408.773438
632,-91336.476562
633,335783.781250
634,277939.906250
635,-237642.906250
636,-263038.875000
637,305743.843750
638,-134343.375000
639,-73422.898438
640,-10984.381836
641,-133826.390625
642,111521.695312
643,-212874.625000
644,47835.652344
645,172295.187500
646,117035.039062
647,-16098.367188
648,207953.437500
649,328743.468750
650,273554.406250
651,62134.683594
652,185960.953125
653,134674.718750
654,57983.453125
655,-205188.031250
656,-247164.218750
657,-128762.210938
658,-219428.140625
659,190329.218750
660,29423.210938
661,292133.062500
662,197158.015625
663,-14178.445312
664,-164788.609375
665,398080.625000
666,-50545.500000
667,74755.945312
668,134871.156250
669,99796.671875
670,346936.156250
671,281901.656250
672,-37798.582031
673,-173827.625000
674,28632.027344
675,336710.937500
676,404357.375000
677,-83885.179688
678,50508.402344
679,20388.289062
680,-162301.812500
681,186067.375000
682,358929.781250
683,-230112.765625
684,152153.156250
685,-89381.937500
686,164504.375000
687,-52653.292969
688,93897.367188
689,-20109.492188
690,30802.328125
691,326695.062500
692,203574.671875
693,235215.546875
694,49819.367188
695,211629.703125
696,359840.812500
697,260679.171875
698,-140287.187500
699,392384.031250
700,190984.109375
701,-41889.917969
702,-180980.531250
703,140259.578125
704,-22547.957031
705,267094.937500
706,194629.734375
707,69468.687500
708,-40110.839844
709,-166165.656250
710,110613.757812
711,162618.562500
712,-24966.162109
713,220368.734375
714,-88495.453125
715,250874.062500
716,257496.125000
717,-70559.179688
718,-167575.531250
719,334244.375000
720,-145385.125000
721,253497.156250
722,132460.093750
723,-25092.546875
724,199225.031250
725,-153393.296875
726,-251549.875000
727,261191.906250
728,273252.750000
729,-59156.707031
730,-42883.281250
731,163616.625000
732,-187762.437500
733,175832.203125
734,314566.437500
735,177666.578125
736,-257376.031250
737,-170244.890625
738,94856.109375
739,271123.375000
740,198546.625000
741,136589.437500
742,-29973.074219
