Performance(MegaMultiply-Sums per Second)1825.837781Index,Sum
366,-506406.437500
367,-242673.890625
368,-219072.625000
369,334595.375000
370,-119468.945312
371,-237392.500000
372,-122500.117188
373,-331029.187500
374,-12432.332031
375,89532.953125
376,-625538.062500
377,-295520.968750
378,13424.537109
379,357531.500000
380,299844.750000
381,-141129.812500
382,-236195.734375
383,441821.625000
384,363400.906250
385,-421368.875000
386,439289.937500
387,-50523.835938
388,-125530.734375
389,-1026.375000
390,210765.671875
391,-237063.312500
392,405795.625000
393,-431022.750000
394,84175.281250
395,364887.031250
396,254438.328125
397,362156.156250
398,-143192.875000
399,-208693.109375
400,-60535.093750
401,166809.125000
402,265046.062500
403,105247.328125
404,-241037.562500
405,-399016.593750
406,-257223.000000
407,-440309.781250
408,-326350.531250
409,-254640.109375
410,137186.421875
411,-599774.437500
412,-191400.078125
413,326047.000000
414,-68000.750000
415,-451783.062500
416,-130828.320312
417,172945.234375
418,-10690.919922
419,-234842.687500
420,-188885.125000
421,270241.687500
422,-286360.125000
423,-511150.500000
424,287611.187500
425,-127187.546875
426,-104376.406250
427,-175753.343750
428,281361.062500
429,-191883.078125
430,-488382.468750
431,-119694.734375
432,-335379.281250
433,93078.312500
434,-289197.062500
435,197084.265625
436,371821.750000
437,-329368.906250
438,155763.593750
439,-87935.484375
440,163778.140625
441,928.554688
442,494821.875000
443,-111485.476562
444,-228258.828125
445,-66852.218750
446,-320533.218750
447,142419.562500
448,280227.437500
449,225717.437500
450,364110.187500
451,-113306.640625
452,-1535.502930
453,-193711.171875
454,-161759.828125
455,-244480.156250
456,-18260.980469
457,-19791.375000
458,-57713.347656
459,-428951.125000
460,-144301.359375
461,-283640.500000
462,241175.109375
463,70097.601562
464,-484614.125000
465,-22111.468750
466,288364.625000
467,-316057.062500
468,-45343.929688
469,-97796.367188
470,287506.000000
471,322215.750000
472,575040.937500
473,145373.187500
474,299240.812500
475,-20476.957031
476,205804.781250
477,-92843.093750
478,506110.531250
479,-52823.058594
480,-118872.890625
481,-99092.546875
482,-10459.166992
483,259067.187500
484,319930.125000
485,296547.468750
486,-107909.156250
487,149948.875000
488,257944.562500
489,575938.687500
490,482464.406250
491,44066.628906
492,-11003.874023
493,367023.718750
494,-119749.546875
495,-238926.484375
496,110678.140625
497,-330907.937500
498,54721.281250
